	OM1	OM2	OM3	OM4	OM5	OM6	YM1	YM2	YM4	YM5	YM6	YM7
ENSMUSG00000075156	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000023909	0.84	4.37	0.55	6.48	7.71	5.78	19.53	20.22	37.03	11.04	26.50	11.09
ENSMUSG00000022864	32.34	29.14	12.20	8.21	12.92	46.19	5.31	2.34	4.68	3.87	1.91	4.08
ENSMUSG00000022491	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000102913	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000012428	2.18	2.74	0.00	4.70	1.70	0.00	0.00	3.27	2.13	2.03	0.00	6.66
ENSMUSG00000096984	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000082963	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000708	8.45	0.12	3.11	2.26	1.37	5.95	0.00	0.00	0.08	0.00	0.00	0.00
ENSMUSG00000039286	43.38	11.06	18.88	5.72	11.71	16.90	7.53	17.61	18.86	21.08	12.47	14.14
ENSMUSG00000083483	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000058295	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000048029	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.07	0.15	0.00	0.00	0.09
ENSMUSG00000104842	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000004902	0.00	0.00	0.00	0.00	0.00	2.02	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000095024	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000099949	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000088133	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000077471	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000031893	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000107928	0.00	0.00	1.59	0.05	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000105147	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000066975	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000083906	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000003657	0.00	0.00	0.00	0.21	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00
ENSMUSG00000096827	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000086798	4.01	0.48	0.30	1.09	0.78	0.85	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000097806	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00
ENSMUSG00000102681	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000053286	8.78	9.00	5.58	13.84	10.53	2.35	2.02	9.51	15.80	8.20	0.00	8.64
ENSMUSG00000105548	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000105224	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000103797	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000034248	0.22	0.00	0.97	0.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000035199	23.51	13.78	44.03	9.28	22.58	70.27	0.17	2.09	2.00	1.18	0.70	1.88
ENSMUSG00000000560	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.17	0.18	0.08	0.00
ENSMUSG00000081367	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000059602	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000095896	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000101317	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
